Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
allergy to beta blocker therapy,Allergy to Beta Blocker Therapy,AllergyDim
neomycin allergy,Allergy to Neomycin,AllergyDim
antibiotic allergy (neomycin),Allergy to Neomycin,AllergyDim
neomycin sensitivity,Allergy to Neomycin,AllergyDim
neomycin hypersensitivity,Allergy to Neomycin,AllergyDim
allergy to neomycin,Allergy to Neomycin,AllergyDim
apb allergy,Allergy to PolymyxinB,AllergyDim
polymyxin b allergy,Allergy to PolymyxinB,AllergyDim
allergy to polymyxin b sulfate,Allergy to PolymyxinB,AllergyDim
allergy to polymyxin b nitrate,Allergy to PolymyxinB,AllergyDim
allergy to polymyxinb,Allergy to PolymyxinB,AllergyDim
streptomycin allergy,Allergy to Streptomycin,AllergyDim
allergy to antibiotic streptomycin,Allergy to Streptomycin,AllergyDim
antibiotic sensitivity - streptomycin,Allergy to Streptomycin,AllergyDim
strep allergy,Allergy to Streptomycin,AllergyDim
allergy to streptomycin,Allergy to Streptomycin,AllergyDim
streptomycin allergy,Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim
neomycin allergy,Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim
polymyxin b allergy,Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim
antibiotic allergy,Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim
allergy to streptomycin/neomycin/polymyxinb,Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim
ati allergy,Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim
tamoxifen allergy,Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim
aromatase inhibitor allergy,Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim
ai therapy allergy,Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim
allergy to tamoxifen aromatase inhibitor therapy,Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim
va,Vaccine Allergy,AllergyDim
vaccination allergy,Vaccine Allergy,AllergyDim
immunization allergy,Vaccine Allergy,AllergyDim
adverse vaccine reaction,Vaccine Allergy,AllergyDim
allergic vaccine response,Vaccine Allergy,AllergyDim
vaccine allergy,Vaccine Allergy,AllergyDim
ai allergy,Allergy to Influenza Vaccine,AllergyDim
influenza vaccine allergy,Allergy to Influenza Vaccine,AllergyDim
iv allergy,Allergy to Influenza Vaccine,AllergyDim
seasonal flu vaccine allergy,Allergy to Influenza Vaccine,AllergyDim
flu shot allergy,Allergy to Influenza Vaccine,AllergyDim
allergy to influenza vaccine,Allergy to Influenza Vaccine,AllergyDim
mmr vaccine allergy,Allergy to MMR Vaccine,AllergyDim
measles-mumps-rubella vaccine allergy,Allergy to MMR Vaccine,AllergyDim
vaccine allergy (mmr),Allergy to MMR Vaccine,AllergyDim
mmr immunization allergy,Allergy to MMR Vaccine,AllergyDim
allergy to mmr vaccine,Allergy to MMR Vaccine,AllergyDim
apv allergy,Allergy to Pneumococcal Vaccine,AllergyDim
pneumococcal vaccine allergy,Allergy to Pneumococcal Vaccine,AllergyDim
pcv allergy,Allergy to Pneumococcal Vaccine,AllergyDim
allergy to pneumococcal vaccine,Allergy to Pneumococcal Vaccine,AllergyDim
allergy to vzv vaccine,Allergy to Varicella Zoster Vaccine,AllergyDim
varicella-zoster vaccine allergy,Allergy to Varicella Zoster Vaccine,AllergyDim
vzv immunization allergy,Allergy to Varicella Zoster Vaccine,AllergyDim
chickenpox vaccine allergy,Allergy to Varicella Zoster Vaccine,AllergyDim
allergy to varicella zoster vaccine,Allergy to Varicella Zoster Vaccine,AllergyDim
vaccine allergy,Vaccine/ Meds Allergy,AllergyDim
medication allergy,Vaccine/ Meds Allergy,AllergyDim
immunization allergy,Vaccine/ Meds Allergy,AllergyDim
drug allergy,Vaccine/ Meds Allergy,AllergyDim
shot allergy,Vaccine/ Meds Allergy,AllergyDim
injection allergy,Vaccine/ Meds Allergy,AllergyDim
vaccine/ meds allergy,Vaccine/ Meds Allergy,AllergyDim
flu vaccine allergy,Allergy to Flu Vaccine/Neomycin,AllergyDim
influenza vaccine allergy,Allergy to Flu Vaccine/Neomycin,AllergyDim
neomycin allergy,Allergy to Flu Vaccine/Neomycin,AllergyDim
antibiotic allergy (neomycin),Allergy to Flu Vaccine/Neomycin,AllergyDim
allergy to flu vaccine/neomycin,Allergy to Flu Vaccine/Neomycin,AllergyDim
medication allergy,Allergy and Intolerance to Medication,AllergyDim
drug allergy,Allergy and Intolerance to Medication,AllergyDim
hypersensitivity to medication,Allergy and Intolerance to Medication,AllergyDim
adverse drug reaction,Allergy and Intolerance to Medication,AllergyDim
medication intolerance,Allergy and Intolerance to Medication,AllergyDim
drug intolerance,Allergy and Intolerance to Medication,AllergyDim
allergy and intolerance to medication,Allergy and Intolerance to Medication,AllergyDim
beta blocker allergy,Allergy and Intolerance to Beta_Blocker,AllergyDim
beta-adrenergic blocker allergy,Allergy and Intolerance to Beta_Blocker,AllergyDim
intolerance to beta blockers,Allergy and Intolerance to Beta_Blocker,AllergyDim
beta-adrenergic antagonist allergy,Allergy and Intolerance to Beta_Blocker,AllergyDim
allergy and intolerance to beta_blocker,Allergy and Intolerance to Beta_Blocker,AllergyDim
medication intolerance,Intolerance to Medication,AllergyDim
drug intolerance,Intolerance to Medication,AllergyDim
pharmacological intolerance,Intolerance to Medication,AllergyDim
adverse drug reaction,Intolerance to Medication,AllergyDim
medication adverse effect,Intolerance to Medication,AllergyDim
drug allergy,Intolerance to Medication,AllergyDim
hypersensitivity reaction to medication,Intolerance to Medication,AllergyDim
intolerance to medication,Intolerance to Medication,AllergyDim
ace inhibitor intolerance,Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim
arb inhibitor intolerance,Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim
angiotensin-converting enzyme inhibitor intolerance,Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim
angiotensin ii receptor blocker intolerance,Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim
intolerance to ace inhibitor or arb inhibitor,Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim
ia-tat,Intolerance to Antineoplastic Therapy,AllergyDim
intolerance to chemotherapy,Intolerance to Antineoplastic Therapy,AllergyDim
intolerance to radiotherapy,Intolerance to Antineoplastic Therapy,AllergyDim
intolerance to immunotherapy,Intolerance to Antineoplastic Therapy,AllergyDim
antineoplastic side effects intolerance,Intolerance to Antineoplastic Therapy,AllergyDim
intolerance to antineoplastic therapy,Intolerance to Antineoplastic Therapy,AllergyDim
beta-blocker intolerance,Intolerance to Beta Blocker Therapy,AllergyDim
bbt intolerance,Intolerance to Beta Blocker Therapy,AllergyDim
beta-blocker adverse reaction,Intolerance to Beta Blocker Therapy,AllergyDim
bbr adverse reaction,Intolerance to Beta Blocker Therapy,AllergyDim
beta-blocker side effects,Intolerance to Beta Blocker Therapy,AllergyDim
intolerance to beta blocker therapy,Intolerance to Beta Blocker Therapy,AllergyDim
itat intolerance to tamoxifen aromatase therapy,Intolerance Tamoxifen Aromatase Therapy,AllergyDim
tamoxifen aromatase therapy intolerance,Intolerance Tamoxifen Aromatase Therapy,AllergyDim
intolerance to tamoxifen at,Intolerance Tamoxifen Aromatase Therapy,AllergyDim
tamoxifen at intolerance,Intolerance Tamoxifen Aromatase Therapy,AllergyDim
intolerance tamoxifen aromatase therapy,Intolerance Tamoxifen Aromatase Therapy,AllergyDim
warfarin intolerance,Intolerance to Warfarin Therapy,AllergyDim
warfarin sensitivity,Intolerance to Warfarin Therapy,AllergyDim
warfarin allergy,Intolerance to Warfarin Therapy,AllergyDim
warfarin adverse reaction,Intolerance to Warfarin Therapy,AllergyDim
warfarin side effects,Intolerance to Warfarin Therapy,AllergyDim
warfarin resistance,Intolerance to Warfarin Therapy,AllergyDim
intolerance to warfarin therapy,Intolerance to Warfarin Therapy,AllergyDim
ic-capecitabine intolerance,Intolerance to Capecitabine,AllergyDim
capecitabine adverse reaction,Intolerance to Capecitabine,AllergyDim
capecitabine side effect intolerance,Intolerance to Capecitabine,AllergyDim
capecitabine hypersensitivity,Intolerance to Capecitabine,AllergyDim
intolerance to capecitabine,Intolerance to Capecitabine,AllergyDim
fluorouracil intolerance,Intolerance to Fluorouracil,AllergyDim
intolerance to 5-fu,Intolerance to Fluorouracil,AllergyDim
5-fu intolerance,Intolerance to Fluorouracil,AllergyDim
fluorouracil adverse reaction,Intolerance to Fluorouracil,AllergyDim
fluorouracil side effect,Intolerance to Fluorouracil,AllergyDim
intolerance to fluorouracil,Intolerance to Fluorouracil,AllergyDim
leucovorin intolerance,Intolerance to Leucovorin,AllergyDim
intolerance to folinic acid,Intolerance to Leucovorin,AllergyDim
folinic acid allergy,Intolerance to Leucovorin,AllergyDim
leucovorin calcium allergy,Intolerance to Leucovorin,AllergyDim
leucovorin side effects,Intolerance to Leucovorin,AllergyDim
intolerance to leucovorin,Intolerance to Leucovorin,AllergyDim
itox,Intolerance to Oxaliplatin,AllergyDim
oxaliplatin intolerance,Intolerance to Oxaliplatin,AllergyDim
platinum drug intolerance,Intolerance to Oxaliplatin,AllergyDim
oxaliplatin adverse reaction,Intolerance to Oxaliplatin,AllergyDim
oxaliplatin side effect,Intolerance to Oxaliplatin,AllergyDim
oxaliplatin toxicity,Intolerance to Oxaliplatin,AllergyDim
intolerance to oxaliplatin,Intolerance to Oxaliplatin,AllergyDim
vi,Vaccine Intolerance,AllergyDim
vaccine adverse reaction,Vaccine Intolerance,AllergyDim
vaccine allergy,Vaccine Intolerance,AllergyDim
anaphylaxis to vaccine,Vaccine Intolerance,AllergyDim
vaccine hypersensitivity,Vaccine Intolerance,AllergyDim
vaccine side effects,Vaccine Intolerance,AllergyDim
vaccine intolerance,Vaccine Intolerance,AllergyDim
iv intolerance,Intolerance to Influenza Vaccine,AllergyDim
influenza vaccine intolerance,Intolerance to Influenza Vaccine,AllergyDim
vaccine intolerance - influenza,Intolerance to Influenza Vaccine,AllergyDim
influenza shot intolerance,Intolerance to Influenza Vaccine,AllergyDim
iv intolerance - influenza,Intolerance to Influenza Vaccine,AllergyDim
intolerance to influenza vaccine,Intolerance to Influenza Vaccine,AllergyDim
ed visit,Emergency Department Visit,EncountersDim
emergency room visit,Emergency Department Visit,EncountersDim
emergency department,Emergency Department Visit,EncountersDim
emergency department visit,Emergency Department Visit,EncountersDim
acute hospitalization,Acute Inpatient or ED Visit,EncountersDim
inpatient stay,Acute Inpatient or ED Visit,EncountersDim
emergency department admission,Acute Inpatient or ED Visit,EncountersDim
ed admission,Acute Inpatient or ED Visit,EncountersDim
hospital visit,Acute Inpatient or ED Visit,EncountersDim
acute care visit,Acute Inpatient or ED Visit,EncountersDim
inpatient care,Acute Inpatient or ED Visit,EncountersDim
hospitalization event,Acute Inpatient or ED Visit,EncountersDim
acute care hospitalization,Acute Inpatient or ED Visit,EncountersDim
acute inpatient or ed visit,Acute Inpatient or ED Visit,EncountersDim
hospital admission,Inpatient Visit or ED Visit,EncountersDim
in-patient stay,Inpatient Visit or ED Visit,EncountersDim
in-hospital visit,Inpatient Visit or ED Visit,EncountersDim
ip visit,Inpatient Visit or ED Visit,EncountersDim
ed visit,Inpatient Visit or ED Visit,EncountersDim
emergency room visit,Inpatient Visit or ED Visit,EncountersDim
emergency department visit,Inpatient Visit or ED Visit,EncountersDim
inpatient visit or ed visit,Inpatient Visit or ED Visit,EncountersDim
hospital admission,Inpatient Encounter,EncountersDim
in-patient stay,Inpatient Encounter,EncountersDim
ip stay,Inpatient Encounter,EncountersDim
admitted patient,Inpatient Encounter,EncountersDim
hospitalization,Inpatient Encounter,EncountersDim
in-patient care,Inpatient Encounter,EncountersDim
ip care,Inpatient Encounter,EncountersDim
inpatient encounter,Inpatient Encounter,EncountersDim
ai encounter,Acute Inpatient Encounter,EncountersDim
inpatient acute care,Acute Inpatient Encounter,EncountersDim
hospitalization,Acute Inpatient Encounter,EncountersDim
acute hospital stay,Acute Inpatient Encounter,EncountersDim
admission for acute illness,Acute Inpatient Encounter,EncountersDim
acute care admission,Acute Inpatient Encounter,EncountersDim
acute inpatient encounter,Acute Inpatient Encounter,EncountersDim
inpatient encounter,Acute Inpatient or Outpatient Encounter,EncountersDim
outpatient encounter,Acute Inpatient or Outpatient Encounter,EncountersDim
hospitalization,Acute Inpatient or Outpatient Encounter,EncountersDim
clinic visit,Acute Inpatient or Outpatient Encounter,EncountersDim
daycare hospitalization,Acute Inpatient or Outpatient Encounter,EncountersDim
emergency room admission,Acute Inpatient or Outpatient Encounter,EncountersDim
ambulatory care,Acute Inpatient or Outpatient Encounter,EncountersDim
in-patient visit,Acute Inpatient or Outpatient Encounter,EncountersDim
acute inpatient or outpatient encounter,Acute Inpatient or Outpatient Encounter,EncountersDim
inpatient acute care,Acute Inpatient or ED Encounter,EncountersDim
hospitalization for acute condition,Acute Inpatient or ED Encounter,EncountersDim
ed hospitalization,Acute Inpatient or ED Encounter,EncountersDim
acute care admission,Acute Inpatient or ED Encounter,EncountersDim
acute care visit in er,Acute Inpatient or ED Encounter,EncountersDim
er admission for acute condition,Acute Inpatient or ED Encounter,EncountersDim
acute inpatient or ed encounter,Acute Inpatient or ED Encounter,EncountersDim
inpatient acute care,Acute or Non-acute Inpatient Encounter,EncountersDim
non-acute hospitalization,Acute or Non-acute Inpatient Encounter,EncountersDim
hospital admission - acute,Acute or Non-acute Inpatient Encounter,EncountersDim
hospital admission - non-acute,Acute or Non-acute Inpatient Encounter,EncountersDim
inpatient stay - acute,Acute or Non-acute Inpatient Encounter,EncountersDim
inpatient stay - non-acute,Acute or Non-acute Inpatient Encounter,EncountersDim
acute or non-acute inpatient encounter,Acute or Non-acute Inpatient Encounter,EncountersDim
hospital admission,Inpatient or Emergency Encounter,EncountersDim
inpatient stay,Inpatient or Emergency Encounter,EncountersDim
emergency room admission,Inpatient or Emergency Encounter,EncountersDim
er stay,Inpatient or Emergency Encounter,EncountersDim
emergency hospitalization,Inpatient or Emergency Encounter,EncountersDim
in-patient visit,Inpatient or Emergency Encounter,EncountersDim
hospital visit,Inpatient or Emergency Encounter,EncountersDim
admitted patient,Inpatient or Emergency Encounter,EncountersDim
inpatient or emergency encounter,Inpatient or Emergency Encounter,EncountersDim
ip encounter,Inpatient or Observation Encounter,EncountersDim
hospitalization encounter,Inpatient or Observation Encounter,EncountersDim
observation stay,Inpatient or Observation Encounter,EncountersDim
inpatient admission,Inpatient or Observation Encounter,EncountersDim
observation admission,Inpatient or Observation Encounter,EncountersDim
inpatient or observation encounter,Inpatient or Observation Encounter,EncountersDim
id services,Inpatient Discharge Services,EncountersDim
hospital discharge services,Inpatient Discharge Services,EncountersDim
in-patient discharge,Inpatient Discharge Services,EncountersDim
ipd services,Inpatient Discharge Services,EncountersDim
hospital discharge,Inpatient Discharge Services,EncountersDim
discharge services,Inpatient Discharge Services,EncountersDim
inpatient discharge services,Inpatient Discharge Services,EncountersDim
nai encounter,Non acute Inpatient Encounter,EncountersDim
inpatient non-acute care,Non acute Inpatient Encounter,EncountersDim
hospitalization for non-acute condition,Non acute Inpatient Encounter,EncountersDim
non-urgent hospital stay,Non acute Inpatient Encounter,EncountersDim
chronic illness hospitalization,Non acute Inpatient Encounter,EncountersDim
non acute inpatient encounter,Non acute Inpatient Encounter,EncountersDim
naipe,Non acute Inpatient or Outpatient Encounter,EncountersDim
non-acute hospitalization or clinic visit,Non acute Inpatient or Outpatient Encounter,EncountersDim
outpatient non-acute care,Non acute Inpatient or Outpatient Encounter,EncountersDim
inpatient non-acute treatment,Non acute Inpatient or Outpatient Encounter,EncountersDim
clinic non-acute visit,Non acute Inpatient or Outpatient Encounter,EncountersDim
non acute inpatient or outpatient encounter,Non acute Inpatient or Outpatient Encounter,EncountersDim
hhv,Home Health/ Outpatient Visits,EncountersDim
home healthcare visit,Home Health/ Outpatient Visits,EncountersDim
outpatient care visit,Home Health/ Outpatient Visits,EncountersDim
outpatient clinic visit,Home Health/ Outpatient Visits,EncountersDim
home healthcare appointment,Home Health/ Outpatient Visits,EncountersDim
outpatient consultation,Home Health/ Outpatient Visits,EncountersDim
home healthcare examination,Home Health/ Outpatient Visits,EncountersDim
outpatient examination,Home Health/ Outpatient Visits,EncountersDim
home health/ outpatient visits,Home Health/ Outpatient Visits,EncountersDim
op visit,Outpatient Visits,EncountersDim
outpatient clinic visit,Outpatient Visits,EncountersDim
clinic visit,Outpatient Visits,EncountersDim
office visit,Outpatient Visits,EncountersDim
consultation,Outpatient Visits,EncountersDim
follow-up visit,Outpatient Visits,EncountersDim
specialist visit,Outpatient Visits,EncountersDim
primary care visit,Outpatient Visits,EncountersDim
referral visit,Outpatient Visits,EncountersDim
outpatient procedure,Outpatient Visits,EncountersDim
outpatient visits,Outpatient Visits,EncountersDim
outpatient visit,Ambulatory Visits,EncountersDim
office visit,Ambulatory Visits,EncountersDim
clinic visit,Ambulatory Visits,EncountersDim
ambulatory care visit,Ambulatory Visits,EncountersDim
outpatient clinic visit,Ambulatory Visits,EncountersDim
ambulatory visits,Ambulatory Visits,EncountersDim
annual wellness visit,AWV,EncountersDim
advance care planning visit,AWV,EncountersDim
as needed visit,AWV,EncountersDim
acute care visit,AWV,EncountersDim
ambulatory visit,AWV,EncountersDim
awv,AWV,EncountersDim
ds,Depression Screening/ Annual Wellness Visits,EncountersDim
annual mental health checkup,Depression Screening/ Annual Wellness Visits,EncountersDim
awv,Depression Screening/ Annual Wellness Visits,EncountersDim
depression assessment,Depression Screening/ Annual Wellness Visits,EncountersDim
mental health evaluation,Depression Screening/ Annual Wellness Visits,EncountersDim
yearly psychological exam,Depression Screening/ Annual Wellness Visits,EncountersDim
depression screening visit,Depression Screening/ Annual Wellness Visits,EncountersDim
annual wellness examination,Depression Screening/ Annual Wellness Visits,EncountersDim
depression screening/ annual wellness visits,Depression Screening/ Annual Wellness Visits,EncountersDim
inpatient pediatric primary care visit,IPPE Visit,EncountersDim
ippc visit,IPPE Visit,EncountersDim
inpatient pediatrician primary care visit,IPPE Visit,EncountersDim
hospitalized pediatric primary care visit,IPPE Visit,EncountersDim
ippe visit,IPPE Visit,EncountersDim
psychotherapy session,Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
home health care visit,Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
office psychotherapy visit,Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
ambulatory psychotherapy visit,Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
awv (annual wellness visit),Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
psychotherapy/home health visits/office visits/awv,Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim
finasteride,5-Alpha-Reductase Inhibitors,PatientMedicationDim
dutasteride,5-Alpha-Reductase Inhibitors,PatientMedicationDim
proscar,5-Alpha-Reductase Inhibitors,PatientMedicationDim
avodart,5-Alpha-Reductase Inhibitors,PatientMedicationDim
male pattern baldness treatment,5-Alpha-Reductase Inhibitors,PatientMedicationDim
benign prostatic hyperplasia treatment,5-Alpha-Reductase Inhibitors,PatientMedicationDim
hair loss treatment,5-Alpha-Reductase Inhibitors,PatientMedicationDim
prostate gland enlargement treatment,5-Alpha-Reductase Inhibitors,PatientMedicationDim
5-alpha-reductase inhibitors,5-Alpha-Reductase Inhibitors,PatientMedicationDim
angiotensin-converting enzyme inhibitors,ACE Inhibitors,PatientMedicationDim
acei,ACE Inhibitors,PatientMedicationDim
angiotensin converting enzyme inhibitor,ACE Inhibitors,PatientMedicationDim
ace inhibitor drug,ACE Inhibitors,PatientMedicationDim
ace inhibitors,ACE Inhibitors,PatientMedicationDim
angiotensin-converting enzyme inhibitor,ACEI And ARB,PatientMedicationDim
angiotensin receptor blocker,ACEI And ARB,PatientMedicationDim
acei and arb,ACEI And ARB,PatientMedicationDim
adderall,ADHD Medications,PatientMedicationDim
ritalin,ADHD Medications,PatientMedicationDim
strattera,ADHD Medications,PatientMedicationDim
concerta,ADHD Medications,PatientMedicationDim
vyvanse,ADHD Medications,PatientMedicationDim
focalin,ADHD Medications,PatientMedicationDim
daytrana,ADHD Medications,PatientMedicationDim
intuniv,ADHD Medications,PatientMedicationDim
kapvay,ADHD Medications,PatientMedicationDim
quillivant xr,ADHD Medications,PatientMedicationDim
adhd medications,ADHD Medications,PatientMedicationDim
aud treatment drugs,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcoholism treatment medication,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcohol addiction treatment meds,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcohol withdrawal meds,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcohol detox meds,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcohol dependence treatment meds,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alcohol use disorder treatment medications,Alcohol Use Disorder Treatment Medications,PatientMedicationDim
alkylating compounds,Alkylating Agents,PatientMedicationDim
chemotherapy agents,Alkylating Agents,PatientMedicationDim
antineoplastic agents,Alkylating Agents,PatientMedicationDim
cyclophosphamide,Alkylating Agents,PatientMedicationDim
ifosfamide,Alkylating Agents,PatientMedicationDim
melphalan,Alkylating Agents,PatientMedicationDim
busulfan,Alkylating Agents,PatientMedicationDim
temozolomide,Alkylating Agents,PatientMedicationDim
dacarbazine,Alkylating Agents,PatientMedicationDim
chlorambucil,Alkylating Agents,PatientMedicationDim
cisplatin,Alkylating Agents,PatientMedicationDim
carboplatin,Alkylating Agents,PatientMedicationDim
alkylating agents,Alkylating Agents,PatientMedicationDim
cp,Cyclophosphamide,PatientMedicationDim
cytoxan,Cyclophosphamide,PatientMedicationDim
cyclo,Cyclophosphamide,PatientMedicationDim
cyclophos,Cyclophosphamide,PatientMedicationDim
cyclophosphamide antineoplastic agent,Cyclophosphamide,PatientMedicationDim
cyclophosphamide,Cyclophosphamide,PatientMedicationDim
oxaliplatin,Oxaliplatin,PatientMedicationDim
cisplatin analogue,Oxaliplatin,PatientMedicationDim
platinum-based chemotherapy drug,Oxaliplatin,PatientMedicationDim
drug used in colorectal cancer treatment,Oxaliplatin,PatientMedicationDim
chemotherapeutic agent for colon cancer,Oxaliplatin,PatientMedicationDim
aaa,Alpha adrenergic receptor agonists,PatientMedicationDim
alpha-adrenergic agonist,Alpha adrenergic receptor agonists,PatientMedicationDim
alpha1-adrenergic receptor agonist,Alpha adrenergic receptor agonists,PatientMedicationDim
alpha2-adrenergic receptor agonist,Alpha adrenergic receptor agonists,PatientMedicationDim
noradrenaline receptor agonist,Alpha adrenergic receptor agonists,PatientMedicationDim
alpha adrenergic receptor agonists,Alpha adrenergic receptor agonists,PatientMedicationDim
alpha-2 ar antagonist,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
alpha-2 adrenoreceptor blocker,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
clonidine antagonist,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
tizanidine antagonist,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
doxazosin antagonist,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
prazosin antagonist,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
alpha-2 adrenergic receptor antagonists,Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim
alpha-1 ar blockers,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
alpha-1 adrenoreceptor blockers,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
prazosin,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
doxazosin,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
terazosin,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
indoramin,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
urapidil,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
alpha-1 adrenergic receptor antagonists,Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
ags,Aminoglycosides,PatientMedicationDim
aminoglycoside antibiotics,Aminoglycosides,PatientMedicationDim
antibiotic ags,Aminoglycosides,PatientMedicationDim
aminoglycoside antibacterials,Aminoglycosides,PatientMedicationDim
aminoglycosides,Aminoglycosides,PatientMedicationDim
neo,Neomycin,PatientMedicationDim
neomycin sulfate,Neomycin,PatientMedicationDim
neomycin bacitracin zinc,Neomycin,PatientMedicationDim
