sub_disease_name,section_name,parent_disease_name,level
Pneumocystis Jiroveci,PatientMedicationDim,Antibiotics,2
Polymyxin,PatientMedicationDim,Antibiotics,2
Parenteral Conversion,PatientMedicationDim,Antibiotics,2
Antineoplastics,PatientMedicationDim,Medications,1
Daunorubicin,PatientMedicationDim,Antineoplastics,2
Doxorubicin,PatientMedicationDim,Antineoplastics,2
Mitomycin,PatientMedicationDim,Antineoplastics,2
Arsenic Trioxide,PatientMedicationDim,Antineoplastics,2
Bosutinib,PatientMedicationDim,Antineoplastics,2
Pegaspargase,PatientMedicationDim,Antineoplastics,2
Anticholinergics,PatientMedicationDim,Medications,1
Anticoagulants,PatientMedicationDim,Medications,1
Warfarin,PatientMedicationDim,Anticoagulants,2
Heparin,PatientMedicationDim,Anticoagulants,2
Anticonvulsants,PatientMedicationDim,Medications,1
Carbamazepine,PatientMedicationDim,Anticonvulsants,2
Phenytoin,PatientMedicationDim,Anticonvulsants,2
Antidepressants,PatientMedicationDim,Medications,1
Doxepin,PatientMedicationDim,Antidepressants,2
Tricyclic Antidepressants,PatientMedicationDim,Antidepressants,2
Antidotes,PatientMedicationDim,Medications,1
Leucovorin,PatientMedicationDim,Antidotes,2
Antiepileptic Agents,PatientMedicationDim,Medications,1
Valproate,PatientMedicationDim,Antiepileptic Agents,2
Antifungals,PatientMedicationDim,Medications,1
Aspergillosis treatment,PatientMedicationDim,Antifungals,2
Candidiasis treatment,PatientMedicationDim,Antifungals,2
Antigout Agents,PatientMedicationDim,Medications,1
Antihyperlipidemics,PatientMedicationDim,Medications,1
Ezetimibe,PatientMedicationDim,Antihyperlipidemics,2
Antihypertensives,PatientMedicationDim,Medications,1
Antileukotrienes,PatientMedicationDim,Medications,1
Antimalarials,PatientMedicationDim,Medications,1
Hydroxychlorioquine,PatientMedicationDim,Antimalarials,2
Antimanics,PatientMedicationDim,Medications,1
Lithium,PatientMedicationDim,Antimanics,2
Antimetabolites,PatientMedicationDim,Medications,1
Cladribine,PatientMedicationDim,Antimetabolites,2
Cytarabine Liposome,PatientMedicationDim,Antimetabolites,2
Cytarabine,PatientMedicationDim,Antimetabolites,2
Hydroxyurea,PatientMedicationDim,Antimetabolites,2
Mercaptopurine,PatientMedicationDim,Antimetabolites,2
Methotrexate,PatientMedicationDim,Antimetabolites,2
Nelarabine,PatientMedicationDim,Antimetabolites,2
Capecitabine/Oxaliplatin,PatientMedicationDim,Antimetabolites,2
Capecitabine,PatientMedicationDim,Antimetabolites,2
Fluorouracil,PatientMedicationDim,Antimetabolites,2
Antimigraine Agents,PatientMedicationDim,Medications,1
TRIPTAN,PatientMedicationDim,Antimigraine Agents,2
Antiparkinsonism Agents,PatientMedicationDim,Medications,1
Antiplatelets,PatientMedicationDim,Medications,1
Anagrelide,PatientMedicationDim,Antiplatelets,2
Aspirin and clopidogrel,PatientMedicationDim,Antiplatelets,2
Clopidogrel,PatientMedicationDim,Antiplatelets,2
Dipyridamole,PatientMedicationDim,Antiplatelets,2
Aspirin,PatientMedicationDim,Antiplatelets,2
Antipsychotics,PatientMedicationDim,Medications,1
Mood Stabilizers,PatientMedicationDim,Antipsychotics,2
Typical/Atypical Antipsychotics,PatientMedicationDim,Antipsychotics,2
Antiretrovirals,PatientMedicationDim,Medications,1
Antirheumatics,PatientMedicationDim,Medications,1
Antispasmodics,PatientMedicationDim,Medications,1
Antithrombotics,PatientMedicationDim,Medications,1
Antituberculars,PatientMedicationDim,Medications,1
Antivirals,PatientMedicationDim,Medications,1
Anxiolytics/Sedatives/Hypnotics,PatientMedicationDim,Medications,1
Nonbenzodiazepine Hypnotics,PatientMedicationDim,Anxiolytics/Sedatives/Hypnotics,2
ARB Inhibitors,PatientMedicationDim,Medications,1
Aromatase Inhibitors,PatientMedicationDim,Medications,1
Tamoxifen,PatientMedicationDim,Aromatase Inhibitors,2
Barbiturates,PatientMedicationDim,Medications,1
Phenobarbitol,PatientMedicationDim,Barbiturates,2
BCR-ABL Tyrosine Kinase Inhibitors,PatientMedicationDim,Medications,1
Dasatinib,PatientMedicationDim,BCR-ABL Tyrosine Kinase Inhibitors,2
Nilotinib,PatientMedicationDim,BCR-ABL Tyrosine Kinase Inhibitors,2
Ponatinib,PatientMedicationDim,BCR-ABL Tyrosine Kinase Inhibitors,2
Imatinib/Dasatinib,PatientMedicationDim,BCR-ABL Tyrosine Kinase Inhibitors,2
Imatinib,PatientMedicationDim,BCR-ABL Tyrosine Kinase Inhibitors,2
Benzodiazepines,PatientMedicationDim,Medications,1
Beta Blockers,PatientMedicationDim,Medications,1
Cardioselective beta blockers,PatientMedicationDim,Beta Blockers,2
Bisphosphonate,PatientMedicationDim,Medications,1
Bronchodilators,PatientMedicationDim,Medications,1
Inhaling Bronchodilators,PatientMedicationDim,Bronchodilators,2
Long-acting bronchodilator inhalers,PatientMedicationDim,Bronchodilators,2
Calcineurin Inhibitors,PatientMedicationDim,Medications,1
Cyclosporine,PatientMedicationDim,Calcineurin Inhibitors,2
Calcium Channel Blockers/Statins,PatientMedicationDim,Medications,1
Amlodipine Atorvastatin High Intensity Medications,PatientMedicationDim,Calcium Channel Blockers/Statins,2
Amlodipine Atorvastatin Moderate Intensity Medications,PatientMedicationDim,Calcium Channel Blockers/Statins,2
Cardiovascular Agents,PatientMedicationDim,Medications,1
Nifedipine Medications,PatientMedicationDim,Cardiovascular Agents,2
Chelating Agents,PatientMedicationDim,Medications,1
CNS Stimulants,PatientMedicationDim,Medications,1
Contraceptives,PatientMedicationDim,Medications,1
Corticosteroids,PatientMedicationDim,Medications,1
Inhaled Corticosteroids,PatientMedicationDim,Corticosteroids,2
Prednisone,PatientMedicationDim,Corticosteroids,2
Intralesional Corticosteroids,PatientMedicationDim,Corticosteroids,2
Asthma Exclusions Medications,PatientMedicationDim,Corticosteroids,2
Systemic Corticosteroids,PatientMedicationDim,Corticosteroids,2
Dapsone and pyrimethamine,PatientMedicationDim,Corticosteroids,2
Dementia Medications,PatientMedicationDim,Medications,1
Diabetes Medications,PatientMedicationDim,Medications,1
Diabetes Medications without Metformin,PatientMedicationDim,Medications,1
Diuretics,PatientMedicationDim,Medications,1
ACEI or ARB Diuretics,PatientMedicationDim,Diuretics,2
Loop Diuretics,PatientMedicationDim,Diuretics,2
Potassium Sparing Diuretics,PatientMedicationDim,Diuretics,2
Thiazide Diuretics,PatientMedicationDim,Diuretics,2
EGFR Inhibitors,PatientMedicationDim,Medications,1
Cetuximab,PatientMedicationDim,EGFR Inhibitors,2
Panitumumab,PatientMedicationDim,EGFR Inhibitors,2
Electrolytes,PatientMedicationDim,Medications,1
IV Fluids,PatientMedicationDim,Electrolytes,2
Erythropoiesis-Stimulating Agents (ESAs),PatientMedicationDim,Medications,1
Erythropoietin,PatientMedicationDim,Erythropoiesis-Stimulating Agents (ESAs),2
Estrogen Agonists,PatientMedicationDim,Medications,1
Estrogens/Progestins,PatientMedicationDim,Medications,1
Glycopeptide Antibiotics,PatientMedicationDim,Medications,1
Vancomycin,PatientMedicationDim,Glycopeptide Antibiotics,2
Gonadotropin Releasing Hormones,PatientMedicationDim,Medications,1
Herbal Products,PatientMedicationDim,Medications,1
High Risk Medications,PatientMedicationDim,Medications,1
Hypertonic Medications,PatientMedicationDim,Medications,1
Sodium Opthalmic Solution,PatientMedicationDim,Hypertonic Medications,2
Immune globulins,PatientMedicationDim,Medications,1
RhoDIg,PatientMedicationDim,Immune globulins,2
Immunizations for bacterial infections,PatientMedicationDim,Medications,1
HiB Vaccine,PatientMedicationDim,Immunizations for bacterial infections,2
Pneumococcal Vaccine,PatientMedicationDim,Immunizations for bacterial infections,2
Immunizations for viral diseases,PatientMedicationDim,Medications,1
Influenza Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Hep A Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Hep B Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
IPV Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Measles Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Mumps Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Rubella Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Varicella Zoster Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Hepatitis B Vaccine,PatientMedicationDim,Immunizations for viral diseases,2
Immunosuppressants,PatientMedicationDim,Medications,1
Incretin Hormones,PatientMedicationDim,Medications,1
Glucagon-like peptide-1,PatientMedicationDim,Incretin Hormones,2
Insulins,PatientMedicationDim,Medications,1
Intermediate Acting Insulin,PatientMedicationDim,Insulins,2
Long Acting Insulin,PatientMedicationDim,Insulins,2
Rapid Acting Insulin,PatientMedicationDim,Insulins,2
Short Acting Insulin,PatientMedicationDim,Insulins,2
Interferons,PatientMedicationDim,Medications,1
Peginterferon alfa-2a,PatientMedicationDim,Interferons,2
Beta2 Agonist,PatientMedicationDim,Medications,1
Long Acting Inhaled Beta2 Agonist,PatientMedicationDim,Beta2 Agonist,2
Mitotic Inhibitors,PatientMedicationDim,Medications,1
Vincristine,PatientMedicationDim,Mitotic Inhibitors,2
Multikinase inhibitors,PatientMedicationDim,Medications,1
Crizotinib,PatientMedicationDim,Multikinase inhibitors,2
Multivitamins and Supplements,PatientMedicationDim,Medications,1
Calcium Supplements,PatientMedicationDim,Multivitamins and Supplements,2
Ascorbic Acid,PatientMedicationDim,Multivitamins and Supplements,2
Folic Acid,PatientMedicationDim,Multivitamins and Supplements,2
Iron,PatientMedicationDim,Multivitamins and Supplements,2
NRTIs,PatientMedicationDim,Medications,1
Entecavir,PatientMedicationDim,NRTIs,2
Lamivudine,PatientMedicationDim,NRTIs,2
Telbivudine,PatientMedicationDim,NRTIs,2
Tenofovir,PatientMedicationDim,NRTIs,2
NSAIDs,PatientMedicationDim,Medications,1
Diclofenac,PatientMedicationDim,NSAIDs,2
Fenoprofen,PatientMedicationDim,NSAIDs,2
Flurbiprofen,PatientMedicationDim,NSAIDs,2
Ibuprofen,PatientMedicationDim,NSAIDs,2
Indomethacin,PatientMedicationDim,NSAIDs,2
Ketoprofen,PatientMedicationDim,NSAIDs,2
Meclofenamate,PatientMedicationDim,NSAIDs,2
Naproxen,PatientMedicationDim,NSAIDs,2
Oxaprozin,PatientMedicationDim,NSAIDs,2
Piroxicam,PatientMedicationDim,NSAIDs,2
Sulindac,PatientMedicationDim,NSAIDs,2
Tolmetin,PatientMedicationDim,NSAIDs,2
Ophthalmic Corticosteroids,PatientMedicationDim,Medications,1
Dexamethasone,PatientMedicationDim,Ophthalmic Corticosteroids,2
Opioid Use Disorder Treatment Medications,PatientMedicationDim,Medications,1
Opioids,PatientMedicationDim,Medications,1
Osteoporosis Medication,PatientMedicationDim,Medications,1
OTC Medications,PatientMedicationDim,Medications,1
Peripherally acting antiobesity agents,PatientMedicationDim,Medications,1
Orlistat,PatientMedicationDim,Peripherally acting antiobesity agents,2
Potassium Channel Blockers,PatientMedicationDim,Medications,1
Progestins,PatientMedicationDim,Medications,1
Proton Pump Inhibitors,PatientMedicationDim,Medications,1
Omeprazole,PatientMedicationDim,Proton Pump Inhibitors,2
Retinoids,PatientMedicationDim,Medications,1
Isotretinoin,PatientMedicationDim,Retinoids,2
Salicylates,PatientMedicationDim,Medications,1
Salicylate,PatientMedicationDim,Salicylates,2
Combined Salicylate,PatientMedicationDim,Salicylates,2
Selective Serotonin Reuptake Inhibitors,PatientMedicationDim,Medications,1
Serotonin-norepinephrine Reuptake Inhibitors,PatientMedicationDim,Medications,1
Skeletal Muscle Relaxants,PatientMedicationDim,Medications,1
Smoking Cessation Agents,PatientMedicationDim,Medications,1
Sodium Channel Blockers,PatientMedicationDim,Medications,1
Statins,PatientMedicationDim,Medications,1
Atorvastatin,PatientMedicationDim,Statins,2
Fluvastatin,PatientMedicationDim,Statins,2
Lovastatin,PatientMedicationDim,Statins,2
Pitavastatin,PatientMedicationDim,Statins,2
Rosuvastatin,PatientMedicationDim,Statins,2
Simvastatin,PatientMedicationDim,Statins,2
Steroids,PatientMedicationDim,Medications,1
Corticosteroids,PatientMedicationDim,Steroids,2
Opthalmic Steroids,PatientMedicationDim,Steroids,2
Inhaled Steroids,PatientMedicationDim,Steroids,2
Nasal Steroids,PatientMedicationDim,Steroids,2
Systemic/Oral Steroids,PatientMedicationDim,Steroids,2
Systemic Corticosteroids,PatientMedicationDim,Steroids,2
Glucocorticoids,PatientMedicationDim,Steroids,2
Sulfonamides,PatientMedicationDim,Medications,1
Sulfonylureas,PatientMedicationDim,Medications,1
Thrombolytics,PatientMedicationDim,Medications,1
Thyroid Drugs,PatientMedicationDim,Medications,1
Thyroxine,PatientMedicationDim,Thyroid Drugs,2
Topical Agents,PatientMedicationDim,Medications,1
Tyrosine Kinase Inhibitors,PatientMedicationDim,Medications,1
Urinary Antispasmodics,PatientMedicationDim,Medications,1
Vasodilators,PatientMedicationDim,Medications,1
Vasopressors,PatientMedicationDim,Medications,1
Xanthines/Corticosteroids,PatientMedicationDim,Medications,1
Alcohol or drug use or induced organic mental disorders,ProblemsDim,,0
Alcohol Abuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol And Drug Dependence,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Counselling,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Dependence,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Drug Dependence,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Use Complications,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Use Disorder,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Use Disorder/Substance Use Disorder,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcohol Withdrawal,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Alcoholism,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Benzodiazepine Withdrawal,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Abuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Abuse Dependence,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Dependence,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Overuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Use Complication,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Drug Use Disorders,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Illicit Drug Use,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Mild Substance Use,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Opioid Abuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Psychotic Complications Of Substance Abuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Substance Abuse,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
Substance Use Disorder,ProblemsDim,Alcohol or drug use or induced organic mental disorders,1
"Allergy , Intolerance & Adverse Reactions",ProblemsDim,,0
Adverse Reaction,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Ace Inhibitor-Induced Renal Failure,ProblemsDim,Adverse Reaction,2
Adverse Effect Of Beta-Adrenoreceptor Antagonists,ProblemsDim,Adverse Reaction,2
Adverse Reaction To Tamoxifen,ProblemsDim,Adverse Reaction,2
Adverse Reactions Associated With The Use Of Ace Inhibitors (ACEi) And Angiotensin Ii Receptor Blockers (Arbs),ProblemsDim,Adverse Reaction,2
Adverse Reactions Of Influenza Vaccine,ProblemsDim,Adverse Reaction,2
Adverse Reactions Of Tetanus Vaccine,ProblemsDim,Adverse Reaction,2
"Adverse Reactions Of These Vaccines (Mm, Vzv, And Flu)",ProblemsDim,Adverse Reaction,2
Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Allergy To Antineoplastic Therapy,ProblemsDim,Allergy,2
Allergy To Contraceptive Device,ProblemsDim,Allergy,2
Allergy To Egg Substance,ProblemsDim,Allergy,2
Allergy To Eggs,ProblemsDim,Allergy,2
Allergy and Intolerance,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Allergy and Intolerance to Medication,ProblemsDim,Allergy and Intolerance,2
Anaphylactic Reaction,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Anaphylactic Reaction Hep B,ProblemsDim,Anaphylactic Reaction,2
Anaphylactic Reaction To Hep B Vaccine,ProblemsDim,Anaphylactic Reaction,2
Anaphylactic Reaction To Ipv Vaccine,ProblemsDim,Anaphylactic Reaction,2
Anaphylactic Reaction To Rv Vaccine,ProblemsDim,Anaphylactic Reaction,2
Anaphylactic Shocks,ProblemsDim,Anaphylactic Reaction,2
Anaphylactoid Reactions,ProblemsDim,Anaphylactic Reaction,2
Anaphylaxis,ProblemsDim,Anaphylactic Reaction,2
Medication Contraindications,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Aspirin Contraindications,ProblemsDim,Medication Contraindications,2
Beta Blocker Therapy,ProblemsDim,Medication Contraindications,2
Chelation Therapy,ProblemsDim,Medication Contraindications,2
Contradiction To A Beta Blocker,ProblemsDim,Medication Contraindications,2
Contraindications To Ace Inhibitors (Aceis) And Angiotensin II Receptor Blockers (Arbs) In Heart Failure (Hf),ProblemsDim,Medication Contraindications,2
Contraindications To Use Of Beta-Blockers In Benign Prostatic Hyperplasia (Bph),ProblemsDim,Medication Contraindications,2
Vaccine Contaidications,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Encephalitis,ProblemsDim,Vaccine Contaidications,2
"Encephalitis, Meningitis",ProblemsDim,Vaccine Contaidications,2
Encephalopathy,ProblemsDim,Vaccine Contaidications,2
Hypersensitive Reaction,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
"End-Stage Kidney Disease, Hypertension",ProblemsDim,Hypersensitive Reaction,2
Hypersensitive Reaction Towards Angiotensive Converting Enzyme Inhibitors And Angiotensive Receptor Blockers,ProblemsDim,Hypersensitive Reaction,2
Hypersensitivity Angiitis,ProblemsDim,Hypersensitive Reaction,2
Hypersensitivity Pneumonitis,ProblemsDim,Hypersensitive Reaction,2
Hypersensitivity Reaction,ProblemsDim,Hypersensitive Reaction,2
Intolerance,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Immunocompromised States,ProblemsDim,Intolerance,2
Inability To Tolerate Ace Inhibitors (Angiotensin-Converting Enzyme Inhibitors) Or Arbs (Angiotensin II Receptor Blockers),ProblemsDim,Intolerance,2
Influenza Vaccine Allergy,ProblemsDim,Intolerance,2
Infusion Related Reaction,ProblemsDim,Intolerance,2
Intolerance To Ace Inhibitor,ProblemsDim,Intolerance,2
Intolerance To Ace Inhibitors (Angiotensin-Converting Enzyme Inhibitors) And Arbs (Angiotensin II Receptor Blockers),ProblemsDim,Intolerance,2
Intolerance To Ace Inhibitors Or Arbs (Angiotensin Receptor Blockers),ProblemsDim,Intolerance,2
Intolerance To Antineoplastic Therapy,ProblemsDim,Intolerance,2
Intolerance To Beta Blocker Therapy,ProblemsDim,Intolerance,2
Intolerance To Influence Vaccine,ProblemsDim,Intolerance,2
Intolerance To Influenza Vaccine,ProblemsDim,Intolerance,2
Intolerance To Tamoxifen Or Aromatase Inhibitor Therapy Allergen,ProblemsDim,Intolerance,2
"Intolerance To Tamoxifen, Aromatase Therapy",ProblemsDim,Intolerance,2
Intolerance To Warfarin Therapy,ProblemsDim,Intolerance,2
Medication Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Miscellaneous,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Neomycin Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Pneumococcal Vaccine Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
