"sub_disease_name","section_name"
Optic Disc Examination for Structural Abnormality,ResultsDim
Thrombin time,ResultsDim
HbA1c Level Less Than 7,ResultsDim
CBC,ResultsDim
Retic Count,ResultsDim
Reticulocytes,ResultsDim
Dipstick,ResultsDim
HIV 2 Ag Ab Test,ResultsDim
HIV Testing/ HIV Screening,ResultsDim
Gamma Glutamyl Transferase,ResultsDim
Creatine Kinase,ResultsDim
Enzyme Test/ MS ENZYME,ResultsDim
Sodium,ResultsDim
Arterial Blood Gas (ABGs),ResultsDim
Bicarbonate,ResultsDim
Biocarbonate,ResultsDim
Casts Urine,ResultsDim
Urine Analysis,ResultsDim
HgbS  Quantitation,ResultsDim
Urinary Epithelial Cells,ResultsDim
Urine Nitrite Test,ResultsDim
Nephropathy Screening Test,ResultsDim
Prostate Cancer Screening,ResultsDim
Prostate Specific Antigen Test,ResultsDim
Serum Sodium,ResultsDim
Electrolyte Test Electrolyte/ Chloride,ResultsDim
Serum Chloride,ResultsDim
Serum Calcium,ResultsDim
Serum Creatinine,ResultsDim
Serum Osmolality,ResultsDim
Serum lipase,ResultsDim
Electrolyte Test Electrolytes/ Magnesium,ResultsDim
Magnesium in Blood,ResultsDim
Comprehensive Metabolic Panel,ResultsDim
Serum Protein,ResultsDim
Alkaline Phosphatase  CBC ALT AST,ResultsDim
Aspartateaminotransferase    (AST),ResultsDim
Iron Studies,ResultsDim
Total Iron Binding Capacity,ResultsDim
Vitamin B12 Level,ResultsDim
Blood Glucose,ResultsDim
Hypothyroidism TPOAb,ResultsDim
Thyroid Function Test,ResultsDim
Carcinoembryonic Antigen (CEA) assay,ResultsDim
Digoxin Level,ResultsDim
ALT Serum,ResultsDim
ANA,ResultsDim
Autoimmune panel test,ResultsDim
Serum ANA,ResultsDim
Anti GAD Antibody Test,ResultsDim
PAP Test,ResultsDim
T1DM Serological Markers,ResultsDim
CD4 Count,ResultsDim
CD7  Count,ResultsDim
Immune system Testing,ResultsDim
Schistocytes Presence,ResultsDim
Serum Transferrin,ResultsDim
Thyroglobulin/ Throid peroxidase (Antibody),ResultsDim
Thyroid Screening/ Antibody Testing/ Thyroid Function Tests,ResultsDim
COPD Oxygen Saturation,ResultsDim
Oxygen saturation,ResultsDim
Transferrin Receptor Testing,ResultsDim
HIV 1 2 Ag Ab Test,ResultsDim
HIV RNA Viral Load,ResultsDim
Occult Blood Stool Test,ResultsDim
Stool Culture,ResultsDim
Serum Iron,ResultsDim
RFT GFR,ResultsDim
Creatinine Clearance,ResultsDim
Autoimmune Disease Blood Tests,ResultsDim
Dietary Recommendations,ResultsDim
Human Leukocyte Antigen HLA B27,ResultsDim
Free T3,ResultsDim
Free Thyroid T3,ResultsDim
Thyroid Stimulating Hormone (TSH),ResultsDim
Spinal Imaging,ResultsDim
Parathyroid Hormone Test (PTH),ResultsDim
Pyruvate Kinase Test,ResultsDim
Ketones Test,ResultsDim
Ketones Test Blood,ResultsDim
Urinary pH,ResultsDim
Adult Depression screening,ResultsDim
Depression Screening,ResultsDim
Mental Health Screening,ResultsDim
Urine Analysis For Crystals,ResultsDim
MCV blood test,ResultsDim
Peripheral blood smears =RDI,ResultsDim
G6PD / Enzyme Test,ResultsDim
Glucose-7-phosphate dehydrogenase Test,ResultsDim
Cardiovascular  Assessment,ResultsDim
Ejection Fraction (EF),ResultsDim
Left Ventricular Ejection Fraction (LVEF),ResultsDim
Left Ventricular Ejection Fraction LVEF Assessment,ResultsDim
Urine Culture,ResultsDim
Plasma Serum Bilirubin Total (TSB),ResultsDim
Echocardiography,ResultsDim
GFR SC Urea AST ALT Bilirubin,ResultsDim
Urea Level,ResultsDim
Anti-intrinsic Factor Antibody Test,ResultsDim
Intrinsic Factor Antibodies Test,ResultsDim
Test for Pernicious Anemia,ResultsDim
Arterial Blood Gas (ABGs)/ Pulse Oximetry,ResultsDim
PaO2,ResultsDim
SaO2,ResultsDim
SaO2 (Oxygen Saturation),ResultsDim
aretrial oxygen saturation,ResultsDim
Antibody testing,ResultsDim
Blood Typing,ResultsDim
Diagnostic Testing,ResultsDim
Hepatic Iron,ResultsDim
Rh PPC,ResultsDim
Rh Status Baby,ResultsDim
Rh Status Mother,ResultsDim
RhD Test,ResultsDim
Hb electrophoresis,ResultsDim
HbA,ResultsDim
Hemoglobin  A,ResultsDim
Babesia Diagnostic Test,ResultsDim
Babesia Microscopic Examination,ResultsDim
Specimen from Urine,ResultsDim
Brucella Species Detection,ResultsDim
Brucella Species Detection by nuclic acid,ResultsDim
Antibody Test,ResultsDim
FPC Obstetric Panel,ResultsDim
Herpes Simplex Antibody Detection,ResultsDim
Obstetric testing,ResultsDim
Prenatal Ultrasound,ResultsDim
Serum Clonazepam,ResultsDim
Sexually Transmitted Viral Disease Herpes Simplex Detection,ResultsDim
TORCH Screening,ResultsDim
Vancomycin Levels,ResultsDim
Viral Test TORCH Screening,ResultsDim
Disease Diagnostics,ResultsDim
Human Immunodeficiency Virus HIV Tests,ResultsDim
Infection Test,ResultsDim
Viral Loads,ResultsDim
Bacterial Identification,ResultsDim
Gramstain,ResultsDim
Infectious Diseases,ResultsDim
Lead Screening,ResultsDim
Lead levels,ResultsDim
Toxicology Screening Panels,ResultsDim
Fecal Occult Blood Test (FOBT) 17,ResultsDim
Lifestyle Reccomendations,ResultsDim
Helmet Cells,ResultsDim
Hematocrit (Hct),ResultsDim
Platelet Count,ResultsDim
Platelets/ Platelet count,ResultsDim
Complete Blood Count,ResultsDim
Haemoglobin,ResultsDim
Chlamydia Tests,ResultsDim
STDs Screening / Sexual Health Screening,ResultsDim
Consultant Report,ResultsDim
Sexually Active Women Identification Tests,ResultsDim
Sputum Stain,ResultsDim
HIV 1 3 Ag Ab Test,ResultsDim
Anti HCV,ResultsDim
HBV Serum Fibrosis,ResultsDim
Hepatitis C Antibody Test,ResultsDim
Hepatitis Serological Marker,ResultsDim
Colorectal Cancer Screening,ResultsDim
Fecal Occult Blood Test (FOBT),ResultsDim
Albumin,ResultsDim
Serum Albumin,ResultsDim
Protein in Urine,ResultsDim
Quantitative Urine Albumin Test,ResultsDim
Fasting Blood Glucose,ResultsDim
Glucose HbA1c Tests,ResultsDim
AST ALT Bilirubin,ResultsDim
Complete Lipid Panel Result,ResultsDim
HDL High Density Lipoprotein Low Density Lipoprotein LDL,ResultsDim
High Density Lipoprotein HDL,ResultsDim
Lipid Panel,ResultsDim
Lipid Profile/ lipid Panel,ResultsDim
Triglycerides Lab Test,ResultsDim
Random Blood Glucose,ResultsDim
Tumor marker,ResultsDim
Biomarkers Testing/ Detection,ResultsDim
Breast Cancer Receptors Test,ResultsDim
ER Or PR Test,ResultsDim
Cervical Cytology,ResultsDim
Cervical Smear/ Cervical Cytology,ResultsDim
Cervical cancer screening,ResultsDim
Therapeutic Drug Monitoring,ResultsDim
cardiac glycoside Level,ResultsDim
Cardiovascular Assessment,ResultsDim
Anticonvulsant Level,ResultsDim
Phenytoin  Level,ResultsDim
Anticonvulsant Level/ Barbiturate Level,ResultsDim
Phenobarbital Level,ResultsDim
Primidone Level,ResultsDim
WBC COUNT,ResultsDim
Babesia ImmunoBlots IgG Ab,ResultsDim
Cyclospora Detection,ResultsDim
Fungal test/ Fungal Detection Test,ResultsDim
Fungus Culture,ResultsDim
HBsAg,ResultsDim
Hep A Nucleic Acid,ResultsDim
HepA antibodies (IgM or IgG) Concentration,ResultsDim
Hepatitis A Qualitative Test,ResultsDim
Hepatitis B HBsAg,ResultsDim
Hepatitis B Test,ResultsDim
HBA2 Gene Mutations,ResultsDim
HBA4 Gene Mutations,ResultsDim
HBA6 Gene Mutations,ResultsDim
HBA7 Gene Mutations,ResultsDim
HCV RNA,ResultsDim
Hepatitis C,ResultsDim
Hepatitis C Qualitative Test,ResultsDim
Hepatitis C Quantitative Test,ResultsDim
Antibiotic Cephalosporin Sensitivity Testing,ResultsDim
Antibiotic susceptibility testing,ResultsDim
CephR Cefotaxime Sensitivity Testing,ResultsDim
Lab Tests During Preg,ResultsDim
STD,ResultsDim
Screening For Syphilis,ResultsDim
Syphilis Serology,ResultsDim
Positive Finding,ResultsDim
Urine Volume 6hr,ResultsDim
Antibiotic Carbapenem Resistance Study,ResultsDim
Carbapenem-Resistant Enterobacterales CPCRE Culture,ResultsDim
Anthrax Tests Nucleic Acid,ResultsDim
CDiff toxigenic culture,ResultsDim
Clostridium Difficile CDiff ToxinA ToxinB,ResultsDim
Clostridium difficile Detection Test,ResultsDim
Anti HBs,ResultsDim
Urine Glucose,ResultsDim
Alprazolam Levels,ResultsDim
Benzodiazepine,ResultsDim
Amikacin,ResultsDim
Serum Antibiotic Aminogylcosides,ResultsDim
Assessments,ResultsDim
C Reactive Protein Quantitation,ResultsDim
Inflammatory Marker Assessment,ResultsDim
Creatinine,ResultsDim
Creatinine Serum,ResultsDim
Renal clearance creatinine,ResultsDim
Glucose-6-phosphate dehydrogenase Test,ResultsDim
Lactic Acidosis,ResultsDim
Metabolic acidosis,ResultsDim
MPM Blood Urea Nitrogen,ResultsDim
Anti HBc,ResultsDim
Diagnostic Testing Hepatitis Serolo+369:932gical Marker,ResultsDim
HCV RIBA (Recombinant Immunoblot Assay),ResultsDim
Congenital Syphilis Tests,ResultsDim
Specimen,ResultsDim
Specimen from NonBlood,ResultsDim
Specimen from Lung tissue,ResultsDim
Pesticide Related illness test,ResultsDim
Blood Urine,ResultsDim
Microorganisms Detection in Urine,ResultsDim
Urinalysis,ResultsDim
Albumin Test,ResultsDim
Albuminuria,ResultsDim
Microalbumin,ResultsDim
Microalbumin Test,ResultsDim
Microalbuminuria,ResultsDim
Microalbuminuria Test,ResultsDim
Nephropathy Scr Tests,ResultsDim
Morphine  Level,ResultsDim
Opioid Level,ResultsDim
Chancroid Tests,ResultsDim
HBV DNA,ResultsDim
HBA5 Gene Mutations,ResultsDim
HCV RNA & PCR,ResultsDim
Fecal Occult Blood Test (FOBT) 15,ResultsDim
Typhoid Detection/ Salmonella paratyphi Detection,ResultsDim
Group A Strep Detection,ResultsDim
CBC with Peripheral smear,ResultsDim
Elliptocytes,ResultsDim
Microscopy,ResultsDim
Squamous Cell Detection,ResultsDim
Hematology,ResultsDim
Osmotic Fragility,ResultsDim
LDL-C  Level,ResultsDim
LDL-C (Low-Density Lipoprotein Cholesterol),ResultsDim
Lipid Profile,ResultsDim
Low Density Lipoprotein LDL  Level,ResultsDim
Tobacco Use History,ResultsDim
Anti HBc IgM,ResultsDim
Anthrax Culture,ResultsDim
Anthrax Detection Test,ResultsDim
Anthrax Tests Culture,ResultsDim
Clostridium botulinum Detection,ResultsDim
Clostridium botulinum Toxin Detection,ResultsDim
Cryptosporidiosis Tests,ResultsDim
Report,ResultsDim
Oxygen Partial Pressure (PaO2),ResultsDim
pH,ResultsDim
pH gases,ResultsDim
g Anti Jo1 Antibody Test,ResultsDim
Gonorrhea Tests Nucleic Acid,ResultsDim
High Virulence Bacteria Present,ResultsDim
Nucleic Acid Amplification Test (NAAT),ResultsDim
Toxoplasma Antibody Detection,ResultsDim
Toxoplasma gondii Detection,ResultsDim
Typhoid Detection/ Salmonella typhi Detection,ResultsDim
Molecular Diagnostics,ResultsDim
Molecular Testing,ResultsDim
Breast Cancer Stage 1C to IIIC,ResultsDim
Breast Cancer Staging,ResultsDim
Cancer Staging,ResultsDim
HbA1c Laboratory Test,ResultsDim
HbA4c Test,ResultsDim
HIV 1 Ag Ab Test,ResultsDim
Specimen from Blood,ResultsDim
Specimen from Sputum,ResultsDim
Electrolytes,ResultsDim
aPTT,ResultsDim
Total Cholesterol Lab Test,ResultsDim
WBC Count In Urine,ResultsDim
RBC Count,ResultsDim
Leukocyte Esterase Nitrate Urinalysis,ResultsDim
Serology Test for Measles,ResultsDim
HBA8 Gene Mutations,ResultsDim
HDV RNA,ResultsDim
Infection Test Neutrophils,ResultsDim
Neutrophils,ResultsDim
PMN Cell  Count,ResultsDim
Specimen from Pleural Fluid,ResultsDim
Urine Urobilinogen,ResultsDim
Specimen from Endotracheala spirate,ResultsDim
Estimated GFR Lab Test,ResultsDim
"PT, PTT",ResultsDim
Ketones Test Urine,ResultsDim
Ketonuria,ResultsDim
Urinary Ketones,ResultsDim
Bilirubin Total Quant,ResultsDim
Fecal Occult Blood Test (FOBT) 14,ResultsDim
Chronic Hepatitis B Necroinflammation,ResultsDim
Hepatic Testing,ResultsDim
Liver Disease,ResultsDim
Oral Glucose Tolerance Test (OGTT),ResultsDim
Urine Microalbumin Test,ResultsDim
LDL  Level,ResultsDim
PEEP,ResultsDim
Spirometry,ResultsDim
Uric Acid Test,ResultsDim
Hydrocodone   Level,ResultsDim
Oxycodone   Level,ResultsDim
Alkaline Phosphatase  (ALP),ResultsDim
Electrolyte Test Electrolytes,ResultsDim
Electrolyte Test Electrolytes/ Potassium,ResultsDim
Potassium,ResultsDim
Serum potassium,ResultsDim
HBA16 Gene Mutations,ResultsDim
Synovial Fluid Analysis,ResultsDim
Synovial Fluid PCR for Bburgdorferi,ResultsDim
Blood Cancer,ResultsDim
Urine Volume Test,ResultsDim
Ehrlichiosis Detection,ResultsDim
Urinary Antigen Test (UAT),ResultsDim
CephR Ceftazidime Sensitivity Testing,ResultsDim
Cytomegalovirus Antibody Detection,ResultsDim
Cytomegalovirus Detection,ResultsDim
Human Papilloma Virus (HPV),ResultsDim
Anti HDV Total,ResultsDim
Disease Screening of Brain,ResultsDim
Meningococcal Disease Screening,ResultsDim
meningococcal Detection,ResultsDim
POS MRSA Isolates,ResultsDim
Rubella Antibody Detection,ResultsDim
Rubella Detection,ResultsDim
Fecal Occult Blood Test (FOBT) 16,ResultsDim
IgG4 Quantitation,ResultsDim
IgM Quantitation,ResultsDim
Immunoglobulin Panel,ResultsDim
MDRO Detection,ResultsDim
MRSA Detection,ResultsDim
Electrolyte Test Electrolytes/ Phosphate,ResultsDim
Phosphate serum,ResultsDim
Phosphorus,ResultsDim
Toxicology Testing,ResultsDim
LDLC Lab Test,ResultsDim
CNS Stimulants,PatientMedicationDim
Kidney Management,ProceduresDim
Cardiovascular Procedures,ProceduresDim
Patient Care Management,ProceduresDim
Anesthesia,ProceduresDim
Surgical Procedures,ProceduresDim
Cardiac Surgery,ProceduresDim
Surgery,ProceduresDim
Diagnostic Imaging and Endoscopy,ProceduresDim
Medical procedure Complication,ProceduresDim
Reproductive Health Assessment,ProceduresDim
Laminectomy,ProceduresDim
Neurosurgery,ProceduresDim
ENT Procedures,ProceduresDim
Phenytoin,PatientMedicationDim
Canagliflozin,PatientMedicationDim
Invokamet,PatientMedicationDim
Antibiotic Aminoglycoside test,ResultsDim
Gentamicin,ResultsDim
Antibiotic Level,ResultsDim
Tobramycin Levels,ResultsDim
APC Resistance Test,ResultsDim
Coagulation test,ResultsDim
Urine Albumin Creatinine Ratio Test,ResultsDim
Hematuria,ResultsDim
Coccidioidomycosis  Detection,ResultsDim
Coccidioidomycosis Tests,ResultsDim
HAV IgM,ResultsDim
HepA IgM,ResultsDim
HepA antibodies (IgM or IgG) Detection,ResultsDim
Hepatitis A Quantitative Test,ResultsDim
Hepatitis B HBeAb,ResultsDim
Hepatitis B HBeAg,ResultsDim
Diagnostic Testing for Active TB,ResultsDim
Antibiotic Penicillin Sensitivity Testing,ResultsDim
CephR Ceftriaxone Sensitivity Testing,ResultsDim
Carbamazepine Level,ResultsDim
Enzyme Test/ MS ENZYME. CARDIAC ENZYME,ResultsDim
Lactate Dehydrogenase,ResultsDim
Lactate Test,ResultsDim
Metabolics investigation,ResultsDim
Gonorrhea Tests NeisseriaGon Culture,ResultsDim
Screening for Gonorrhea,ResultsDim
Rabies Antibody Detection,ResultsDim
Rabies Detection,ResultsDim
Rabies Tests Antibody,ResultsDim
Rabies Tests Antibody Serum,ResultsDim
Referral for Depression Screening Adult,ResultsDim
Haemophilus influenzae Detection,ResultsDim
HBA15 Gene Mutations,ResultsDim
Synovial Fluid Gram Stain,ResultsDim
HBA12 Gene Mutations,ResultsDim
Synovial Fluid Analysis For PMN Count,ResultsDim
Cefuroxime Testing,ResultsDim
Sputum  Culture,ResultsDim
Sputum Culture,ResultsDim
Sputum Examination,ResultsDim
Chlamydia Sp Culture,ResultsDim
Chlamydia Trachomatis Ag dia,ResultsDim
Diphtheria Detection,ResultsDim
Neutrophils Dysplastic,ResultsDim
Throat or Nasopharyngeal Swab and Culture,ResultsDim
Bilirubin Mol,ResultsDim
Bilirubin Quantitation,ResultsDim
HBA9 Gene Mutations,ResultsDim
Synovial Fluid Analysis For Color,ResultsDim
Erythocyte CD 60  Detection,ResultsDim
Erythropoietin test,ResultsDim
Blood Iron Studies,ResultsDim
Serum Ferritin Level,ResultsDim
RBC & Folate Level,ResultsDim
RBC Folate level,ResultsDim
LDH Activity,ResultsDim
LDH Test / Enzyme Test,ResultsDim
Chemotherpeutic Agent test/ antineoplastic agent test,ResultsDim
Methotrexate Serum Test (MTHX),ResultsDim
Phenytoin Level,ResultsDim
Bronchodilators/ Methylxanthine,ResultsDim
Theophylline Levels,ResultsDim
Valproate Levels,ResultsDim
Valproic Acid  Level,ResultsDim
Valproic Acid Level,ResultsDim
HBA13 Gene Mutations,ResultsDim
Synovial Fluid Analysis For Viscosity,ResultsDim
Cyclosporinelevel Level,ResultsDim
Immunosuppressant levels,ResultsDim
Glucose Urine,ResultsDim
Serum Amikacin,ResultsDim
Serum Aminogylcosides,ResultsDim
Anaplasmosis Tests,ResultsDim
Candida Antibodies Detection,ResultsDim
Candida Panel,ResultsDim
Cephalothin Sensitivity Testing,ResultsDim
Legionella Detection,ResultsDim
Legionella Immunofluorescence (IF) Stain,ResultsDim
Beta-2 glycoprotein 1 antibody tests,ResultsDim
Beta2 GLY1 IgG,ResultsDim
Beta-2 glycoprotein 2 antibody tests,ResultsDim
Beta2 GLYC1 IgM,ResultsDim
Phenobarbital  Level,ResultsDim
AST ALT,ResultsDim
Alanine Transaminase (ALT),ResultsDim
Alanineaminotransferase (ALT) test,ResultsDim
Screening for Latent TB Infection (LTBI),ResultsDim
Tuberculin Skin Test (TST) or Mantoux Test:,ResultsDim
Campylobacter bacteria Detection,ResultsDim
Campylobacteriosis Nucleic Acid,ResultsDim
Polymerase Chain Reaction (PCR) (Nuclic acid detection) for Campylobacter bacteria Detection,ResultsDim
HbA1c Test Result,ResultsDim
Transferrin Saturation,ResultsDim
Coombs Test,ResultsDim
Direct Coombs Test,ResultsDim
Chlamydia Trachomatis Tests Nucleic Acid,ResultsDim
HAV,ResultsDim
PSA Test Result Finding,ResultsDim
PSA test,ResultsDim
Calcium serum,ResultsDim
pH urine,ResultsDim
Dengue Tests,ResultsDim
Fecal Occult Blood Test (FOBT)  Test Result Finding,ResultsDim
Hepatitis B Quantitative Test,ResultsDim
Asthma Assessment,ResultsDim
Disease Asssessment,ResultsDim
CD Markers,ResultsDim
CD11a,ResultsDim
flow cytometry/CD Markers,ResultsDim
Adolescent depression screening,ResultsDim
CD18,ResultsDim
Antibiotic Amphenicol suscetibility testing,ResultsDim
Chloramphenicol Susc Testing,ResultsDim
ADA activity,ResultsDim
ADA test,ResultsDim
Adenosine deaminase Test,ResultsDim
HBA14 Gene Mutations,ResultsDim
Synovial Fluid Analysis For WBC Count,ResultsDim
Parathyroid Hormone Test (PTH)/ Endocrinal Hormones test,ResultsDim
Absolute Neutrophil Count (ANC),ResultsDim
ALT Activity,ResultsDim
Macroalbumin Test,ResultsDim
Salmonella Detection,ResultsDim
Shigella Test,ResultsDim
Aldolase test,ResultsDim
Alkaline Phosphatase (ALP) Bone,ResultsDim
CD4  Percentage,ResultsDim
CD8  Count,ResultsDim
HbA2c Tests,ResultsDim
HbA1c 8 9 Percent,ResultsDim
HbA1c Tests,ResultsDim
HbA3c Test,ResultsDim
HbA3c Tests,ResultsDim
HbA4c Tests,ResultsDim
HbA7c Tests,ResultsDim
HbA8c Tests,ResultsDim
HbA9c Tests,ResultsDim
Blood Culture,ResultsDim
Culture,ResultsDim
Microbiological Testing,ResultsDim
Pancreatic Enzymes Measurement,ResultsDim
Serum Amylase,ResultsDim
Blood_Smear,ResultsDim
ESR,ResultsDim
Anticoagulants,PatientMedicationDim
Heparin,PatientMedicationDim
Warfarin,PatientMedicationDim
Amlodipine Atorvastatin Moderate Intensity Medications,PatientMedicationDim
Calcium Channel Blockers/Statins,PatientMedicationDim
Amlodipine Atorvastatin High Intensity Medications,PatientMedicationDim
Antiadrenergics,PatientMedicationDim
Reserpine,PatientMedicationDim
Fluvastatin,PatientMedicationDim
Carbamazepine,PatientMedicationDim
"Injuries, poisonings and toxic effects of drugs",ProblemsDim
Trauma,ProblemsDim
Diseases and disorders of the respiratory system,ProblemsDim
Infectious Diseases,ProblemsDim
Infection,ProblemsDim
"Infectious and parasitic diseases, systemic or unspecified sites",ProblemsDim
Typhoid,ProblemsDim
Sepsis,ProblemsDim
Central Nervous System (Cns) Infections,ProblemsDim
Diseases and disorders of the nervous system,ProblemsDim
Arthritis,ProblemsDim
Diseases and disorders of the musculoskeletal system and connective tissue,ProblemsDim
Acute Liver Failure,ProblemsDim
Diseases and disorders of the hepatobiliary system and pancreas,ProblemsDim
Human immunodeficiency virus infections,ProblemsDim
Opportunistic Infections,ProblemsDim
Tuberculosis,ProblemsDim
Active Tuberculosis (TB),ProblemsDim
Atrial Fibrillation,ProblemsDim
Diseases and disorders of the circulatory system,ProblemsDim
Cardiomyopathy,ProblemsDim
Acute Pharyngitis,ProblemsDim
Acute Pharyngitis And Tonsillitis,ProblemsDim
"Diseases and disorders of the ear, nose, mouth and throat",ProblemsDim
Pharyngitis,ProblemsDim
Gangrene,ProblemsDim
Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
Chronic Malabsorption Syndromes,ProblemsDim
Diseases and disorders of the digestive system,ProblemsDim
Bacterial Infection,ProblemsDim
"Allergy , Intolerance & Adverse Reactions",ProblemsDim
"Diseases and disorders of blood, blood forming organs and immunologic disorders",ProblemsDim
HIV,ProblemsDim
Hematological Disorders/Blood Disorder,ProblemsDim
Human Immunodeficiency Virus,ProblemsDim
Immunocompromised States,ProblemsDim
Immunocompromising Conditions,ProblemsDim
Syphilis,ProblemsDim
"Adverse Reactions Of These Vaccines (Mm, Vzv, And Flu)",ProblemsDim
Vaccine Contraindications,ProblemsDim
Insomnia,ProblemsDim
Mental diseases and disorders,ProblemsDim
Meningitis,ProblemsDim
Varicella-Zoster Infection,ProblemsDim
Varicella-Zoster Virus (Vzv),ProblemsDim
Herpes Zoster,ProblemsDim
Shingles,ProblemsDim
Trigeminal Neuralgia,ProblemsDim
Dermatitis,ProblemsDim
"Diseases and disorders of the skin, subcutaneous tissue and breast",ProblemsDim
Chlamydia,ProblemsDim
Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,ProblemsDim
Genital Herpes,ProblemsDim
Measles,ProblemsDim
Rubella,ProblemsDim
Stroke,ProblemsDim
Hepatitis A,ProblemsDim
Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
Hepatitis A Infection,ProblemsDim
Hepatitis B,ProblemsDim
Chronic Hepatitis B,ProblemsDim
Chronic Hepatitis,ProblemsDim
Acute Hepatitis C,ProblemsDim
Chronic Hepatitis C,ProblemsDim
Mumps,ProblemsDim
Diseases and disorders of the eye,ProblemsDim
Hemorrhagic Conjunctivitis,ProblemsDim
Diseases and disorders of the female reproductive system,ProblemsDim
Other Female Reproductive Conditions,ProblemsDim
Diseases and disorders of the kidney and urinary tract,ProblemsDim
Abdominal Aortic Aneurysm (Aaa),ProblemsDim
Congenital Heart Defect,ProblemsDim
Coronary Heart Disease (Chd),ProblemsDim
Valvular Heart Disease,ProblemsDim
Dementia,ProblemsDim
Feeling Irritable,ProblemsDim
Mental State Disorder,ProblemsDim
Gonorrhea,ProblemsDim
Gonococcal Infections,ProblemsDim
Abnormal Ecg,ProblemsDim
"Endocrine, nutritional and metabolic diseases and disorders",ProblemsDim
